"IID","Pop","Color","Predicted_Ancestry","PC1","PC2","PC3","PC4"
"NA17988","CHD","goldenrod1","CHD",-0.0040067,0.0559242,0.000840127,-0.000925877
"NA17989","CHD","goldenrod1","CHD",-0.00324982,0.0562796,-0.000604974,0.00310542
"NA17990","CHD","goldenrod1","CHD",-0.00318522,0.0565239,0.00149756,0.000282025
"NA17993","CHD","goldenrod1","CHD",-0.00280175,0.0555385,0.00193127,0.000467981
"NA17995","CHD","goldenrod1","CHD",-0.00304871,0.0559018,0.000445681,-0.00253466
"NA17996","CHD","goldenrod1","CHD",-0.00356291,0.0568212,0.000228591,0.000354195
"NA17997","CHD","goldenrod1","CHD",-0.00316128,0.0563413,0.000864623,-0.00365525
"NA17998","CHD","goldenrod1","CHD",-0.00331981,0.0561528,0.000985271,-0.00228099
"NA17999","CHD","goldenrod1","CHD",-0.00411103,0.0563633,0.000844094,-0.00138179
"NA18101","CHD","goldenrod1","CHD",-0.00310045,0.0551987,0.00118279,-0.00154168
"NA18102","CHD","goldenrod1","CHD",-0.00315104,0.0554688,0.00187019,-0.000857592
"NA18105","CHD","goldenrod1","CHD",-0.0032893,0.0559815,0.00187432,0.000220335
"NA18106","CHD","goldenrod1","CHD",-0.00289918,0.0569983,0.00198311,0.00446015
"NA18107","CHD","goldenrod1","CHD",-0.00290969,0.056745,0.00181548,0.00113357
"NA18108","CHD","goldenrod1","CHD",-0.00347962,0.0568737,0.0029718,-0.00454642
"NA18109","CHD","goldenrod1","CHD",-0.00396646,0.0573816,0.00141672,0.000615439
"NA18112","CHD","goldenrod1","CHD",-0.00316013,0.0575372,-0.000948796,0.00265636
"NA18114","CHD","goldenrod1","CHD",-0.00344967,0.0561343,0.00121392,-0.00248295
"NA18117","CHD","goldenrod1","CHD",-0.00281342,0.0558247,0.00103247,0.00189743
"NA18118","CHD","goldenrod1","CHD",-0.00372182,0.0544914,0.00214494,-0.00208447
"NA18120","CHD","goldenrod1","CHD",-0.00316747,0.0554231,0.000620152,-0.00232592
"NA18122","CHD","goldenrod1","CHD",-0.00296689,0.0559418,0.002404,0.00126743
"NA18124","CHD","goldenrod1","CHD",-0.0030042,0.0559522,-5.3758e-05,0.000313482
"NA18125","CHD","goldenrod1","CHD",-0.00209471,0.0560077,0.00407524,-0.000699539
"NA18127","CHD","goldenrod1","CHD",-0.0030306,0.0563496,0.000688388,-0.00185946
"NA18128","CHD","goldenrod1","CHD",-0.00309491,0.056828,0.0030394,-0.000302532
"NA18129","CHD","goldenrod1","CHD",-0.00333107,0.056167,4.47077e-06,0.00403927
"NA18131","CHD","goldenrod1","CHD",-0.00285318,0.0566145,0.000988242,-0.00273002
"NA18132","CHD","goldenrod1","CHD",-0.00407351,0.0565032,0.00229096,-0.000871149
"NA18133","CHD","goldenrod1","CHD",-0.00330554,0.0557902,-4.05632e-05,-0.000522564
"NA18134","CHD","goldenrod1","CHD",-0.00279107,0.0574054,0.000888097,-0.00286007
